company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
CLAVECINS SANS FRONTIÈRES LTD,15487239,Active,Private limited company,,,2024-02-13,,,32200,20 The Spinneys Lewes BN7 2RN ,BN7 2RN,0.02089,50.878392
DBEATZ EVOLUTION LIMITED,16484288,Active,Private limited company,,,2025-05-30,,,32200 46491 46499 47591,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
WINCHESTER YORK LTD,15209523,Dissolved,Private limited company,,2025-03-25,2023-10-13,,,32200 46491 47591,21a Grove Street Brighton BN2 9NY United Kingdom,BN2 9NY,-0.129685,50.827787
"UNIVERSAL YOSUN MUSIC GROUP CO., LTD",15236355,Dissolved,Private limited company,,2025-04-01,2023-10-25,,,32200,Flat A9 233 Earls Court Road London SW5 9AH England,SW5 9AH,-0.190144,51.489846
MB GUITARWORKS LTD,14482729,Active,Private limited company,,,2022-11-14,,,16230 31090 32200,Office 1.15 - 22a St James's Square London 22a St James's Square London Office 1.15 London SW1Y 4JH England,SW1Y 4JH,-0.135054,51.506554
LOVE BOMB AUDIO LTD,13806648,Active,Private limited company,,,2021-12-17,,,32200,C/O Fmtv.London Adam House 7-10 Adam Street London WC2N 6AA England,WC2N 6AA,-0.121957,51.509664
FLOWSTAND LTD,15333356,Dissolved,Private limited company,,2025-05-13,2023-12-07,,,32200 33140 49420,"7 Coronation Road, Dephna House, Launchese #105 London NW10 7PQ United Kingdom",NW10 7PQ,-0.272847,51.528555
ALASTAIR HANSON LIMITED,06909509,Active,Private limited company,,,2009-05-19,,,32200,Hanson Musical Instruments Units 2  Warehouse Hill Marsden Huddersfield HD7 6AB United Kingdom,HD7 6AB,-1.926172,53.602297
LAKESTONE GUITARS LIMITED,10185095,Dissolved,Private limited company,,2025-05-20,2016-05-17,,,32200,27 Lawnswood Road Dudley DY3 2JE United Kingdom,DY3 2JE,-2.122865,52.526517
RESTALLS LIMITED,03796849,Liquidation,Private limited company,,,1999-06-28,,,32200 47591,CVR GLOBAL LLP Town Wall House Balkerne Hill Colchester CO3 3AD ,CO3 3AD,0.894133,51.888185
HJKGROUP LTD,13374414,Active,Private limited company,,,2021-05-04,,,22290 32200 46491 47910,13 St. Marys Road Plymouth PL7 4PT England,PL7 4PT,-4.068552,50.39308
"AUSTRIA JOHANN HEITZMANN PIANO GROUP CO., LTD",14016742,Dissolved,Private limited company,,2025-09-02,2022-03-31,,,32200 46491,7 Copperfield Road Coventry CV2 4AQ ,CV2 4AQ,-1.475151,52.408019
P.G.HORSLEY LTD,16688614,Active,Private limited company,,,2025-09-02,,,32200 41100 43320,Unit 2d Birchend Farm Bosbury Ledbury HR81HF United Kingdom,HR8 1HF,-2.48581,52.09848
GEOFF DENYER VIOLINS LIMITED,04549861,Active,Private limited company,,,2002-10-01,,,32200,Third Floor Gateway House Tollgate Chandlers Ford SO53 3TG United Kingdom,SO53 3TG,-1.383209,50.967505
ECHEN LTD,13708976,Active,Private limited company,,,2021-10-28,,,26200 32200 33130,Unit Fs.113a 154-160 Fleet Street Blackfriars London EC4A 2DQ England,EC4A 2DQ,-0.107612,51.514334
D R GUITARS LIMITED,16615113,Active,Private limited company,,,2025-07-30,,,32200 33190 47591 59200,2 Westbrook Court Sharrow Vale Road Sheffield S11 8YZ United Kingdom,S11 8YZ,-1.490863,53.367234
PICKEREL HEAD PEDALS LIMITED,16616807,Active,Private limited company,,,2025-07-30,,,32200,14 Wheel House 15 Wickford Way London E17 6FE United Kingdom,E17 6FE,-0.043815,51.588483
LURKER AUDIO LTD,15869361,Active,Private limited company,,,2024-07-31,,,32200 47591 59200,Unit 5 Filwood House Fishponds Bristol BS16 3RY United Kingdom,BS16 3RY,-2.525325,51.476838
KLWT AUDIO LIMITED,16643039,Active,Private limited company,,,2025-08-11,,,32200 47591,Omega Court 368 Cemetery Road Sheffield S11 8FT England,S11 8FT,-1.48887,53.367999
D. J. WLK VIOLINS LTD,13581822,Dissolved,Private limited company,,2025-08-19,2021-08-24,,,32200,"C/O Ashferns, Sbc House Restmor Way Wallington SM6 7AH United Kingdom",SM6 7AH,-0.157124,51.37516
MUSICGANGSTERS LIMITED,16707045,Active,Private limited company,,,2025-09-10,,,32200 46491 47630 59200,15 Michael Ramsey Court Leicester LE2 9QS England,LE2 9QS,-1.157386,52.588468
BODY ROCKER RECORDS LTD,12249080,Active,Private limited company,,,2019-10-08,,,32200 47591 59200,Body Rocker Records Ltd 61 Bridge Street Kington HR5 3DJ ,HR5 3DJ,-3.028491,52.20349
LACRAPS LIMITED,15668931,Dissolved,Private limited company,,2025-09-23,2024-04-22,,,32200 59200 82911 82990,182 -184 High Street North East Ham London E6 2JA United Kingdom,E6 2JA,0.051517,51.538987
JT PEDALS LTD,12756406,Active,Private limited company,,,2020-07-20,,,32200 90010 90020,4 Old House Close Epsom KT17 1LE England,KT17 1LE,-0.250564,51.344587
REID INDUSTRIES LTD,SC575015,Active,Private limited company,,,2017-08-30,,,32200 47591 81222,31 Eastfield Place Fauldhouse EH47 9BF Scotland,EH47 9BF,-3.69729,55.830701
MELODY MUSICAL INSTRUMENTS CORPORATION LIMITED,15903415,Active,Private limited company,,,2024-08-19,,,32200 47591 47910,15903415 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
AMP'D MUSIC SCHOOL LTD,16752666,Active,Private limited company,,,2025-09-30,,,32200 47591 85200,48 Whittington Drive Ratby Leicester LE6 0ND England,LE6 0ND,-1.24602,52.65071
MARGOT WHITE MUSIC LIMITED,12541496,Dissolved,Private limited company,,2021-10-05,2020-03-31,,,32200 59200 71121 74100,18 The Mount Flat 3 London NW3 6ST United Kingdom,NW3 6ST,-0.178713,51.559011
MUSOBOT LTD,12351363,Dissolved,Private limited company,,2022-01-18,2019-12-05,,,32200 46190 46491 85590,4 Wessex Court 138 Albert Street Fleet GU51 3YD England,GU51 3YD,-0.842952,51.27918
INTERESTING GUITARS LIMITED,12442811,Dissolved,Private limited company,,2021-08-10,2020-02-04,,,32200,25 Red Deer Road Shrewsbury SY3 9FB ,SY3 9FB,-2.78761,52.699659
FLYING VINYL RECORDS LIMITED,12858072,Dissolved,Private limited company,,2022-02-08,2020-09-04,,,32200,130 Old Street London EC1V 9BD England,EC1V 9BD,-0.092704,51.524803
ORGAN  DESIGN & CONSTRUCTION LIMITED,01123089,Dissolved,Private limited company,,2014-02-19,1973-07-17,,,32200,"Hunters, Headley Road Grayshott Hindhead GU26 6DL ",GU26 6DL,-0.762427,51.110384
ACCORDION MAGIC LIMITED,03219982,Dissolved,Private limited company,,2014-07-29,1996-07-03,,,32200 33190,88 Woodlands Park Wash Lane Allostock WA16 9LG ,WA16 9LG,-2.38898,53.235206
SANDAVORE LIMITED,SC665178,Dissolved,Private limited company,,2022-12-13,2020-06-24,,,32200,11 St. Marys Court Dunblane FK15 0HP Scotland,FK15 0HP,-3.960509,56.188279
OUTLAW PRODUCTIONS LTD,SC679501,Dissolved,Private limited company,,2023-09-26,2020-11-02,,,32200,17 Cairnston Avenue Drongan Ayr KA6 7AE Scotland,KA6 7AE,-4.46692,55.435187
THE GUITAR WORKSHOP LTD,SC484471,Dissolved,Private limited company,,2023-11-28,2014-08-15,,,32200,Unit 59 Elderpark Workspace 100 Elderpark Street Glasgow G51 3TR Scotland,G51 3TR,-4.322444,55.85732
MAXIS EMPIRE LTD,11302260,Dissolved,Private limited company,,2019-01-08,2018-04-10,,,32200 47630 47710 59111,20-22 Wenlock Road London N1 7GU England,N1 7GU,-0.09371,51.530737
HEXAGON STUDIOS LTD,12146621,Dissolved,Private limited company,,2021-09-21,2019-08-08,,,18201 32200 59120 59200,15 Elmdale Road Tyndalls Park Bristol BS8 1SF England,BS8 1SF,-2.607505,51.458656
MAGNITUDE ACOUSTIC INNOVATION LTD,12160475,Dissolved,Private limited company,,2021-03-30,2019-08-16,,,32200,7 Westbury Grove London N12 7PE United Kingdom,N12 7PE,-0.189894,51.611673
CLOUD HINT ENGINEERING LTD,12257047,Dissolved,Private limited company,,2021-03-16,2019-10-11,,,32200 62012 90030,1 Oxford Road St. Ives PE27 5PZ England,PE27 5PZ,-0.072323,52.327561
ACME PIANO SERVICES CYF,12044756,Dissolved,Private limited company,,2021-11-16,2019-06-11,,,32200 85310,11 Graig Avenue Abercwmboi Aberdare CF44 6AF Wales,CF44 6AF,-3.417491,51.691077
HARMONY INSTRUMENTS LIMITED,SC417304,Dissolved,Private limited company,,2016-01-12,2012-02-17,,,32200,Royal Conservatoire Of Scotland 100 Renfrew Street Glasgow G2 3DB ,G2 3DB,-4.257581,55.865808
GUITARSMITH LIMITED,08115051,Dissolved,Private limited company,,2016-04-19,2012-06-21,,,32200 47591,Oakmoore Court 11c Kingswood Road Hampton Lovett Droitwich WR9 0QH ,WR9 0QH,-2.172755,52.285241
SLOSH POTZ LIMITED,13101121,Dissolved,Private limited company,,2022-08-09,2020-12-29,,,32200,61 Gillingham Road Gillingham ME7 4RZ England,ME7 4RZ,0.548089,51.382294
JAMES ROBERTSON BAGPIPES LIMITED,SC294873,Dissolved,Private limited company,,2016-09-20,2005-12-23,,,32200,11 Gray Street Kirkintilloch Glasgow G66 3LL Scotland,G66 3LL,-4.121189,55.935225
DUNCAN & GAVIN C MACDOUGALL BAGPIPE MAKERS ABERFELDY LTD,SC333661,Dissolved,Private limited company,,2019-02-19,2007-11-08,,,32200,"East Strude House, 45 Ochil Road Alva Clackmannanshire FK12 5JT ",FK12 5JT,-3.795838,56.155026
OL' NICK'S LTD,12922790,Dissolved,Private limited company,,2022-02-08,2020-10-02,,,20412 26400 32200,61 Bridge Street Kington HR5 3DJ United Kingdom,HR5 3DJ,-3.028491,52.20349
GEORGE HENRY GUITARS LIMITED,10719174,Dissolved,Private limited company,,2018-09-18,2017-04-10,,,32200 96090,"Trafford Secretarial Services Ltd, Loxley House 11 Swan Road Lichfield WS13 6QZ United Kingdom",WS13 6QZ,-1.831736,52.682041
O'SULLIVAN WHITE ACCORDIONS LTD.,10654447,Dissolved,Private limited company,,2019-05-07,2017-03-06,,,32200,7 Northfield Road Gosforth NE3 3UL ,NE3 3UL,-1.631434,55.003911
CASTOR-BEE R&D LTD,10931861,Dissolved,Private limited company,,2021-03-23,2017-08-24,,,20411 32200 71122 72190,29 Orchard Road Ebley Stroud GL5 4TZ England,GL5 4TZ,-2.256499,51.741645
CHAMELEON GUITARS LTD,10794578,Dissolved,Private limited company,,2022-09-13,2017-05-30,,,32200,24 Hillier Road Devizes SN10 2FB England,SN10 2FB,-1.972999,51.362469
BOND GUITARS LIMITED,10782323,Dissolved,Private limited company,,2019-07-09,2017-05-22,,,32200,"Flat 8, Primrose Court Windham Road Bournemouth BH1 4RQ United Kingdom",BH1 4RQ,-1.849907,50.730237
REX CREATIVITY LTD,11103107,Dissolved,Private limited company,,2019-12-17,2017-12-08,,,18130 32200 59200,20 Wymer Street Wymer Street Norwich NR2 4BJ United Kingdom,NR2 4BJ,1.279717,52.632851
SABRE GUITARS LIMITED,06981542,Dissolved,Private limited company,,2013-01-22,2009-08-05,,,32200,341 Exning Road Newmarket CB8 0AT United Kingdom,CB8 0AT,0.390733,52.255008
THE LODESTONE GUITAR COMPANY LIMITED,05729469,Dissolved,Private limited company,,2012-07-31,2006-03-03,,,32200,Swiss House Beckingham Street Tolleshunt Major CM9 8LZ United Kingdom,CM9 8LZ,0.749008,51.765711
DIAS MUSIC LIMITED,06009568,Dissolved,Private limited company,,2014-03-25,2006-11-24,,,32200,11 Milford Way Chippenham Wiltshire SN15 3YD ,SN15 3YD,-2.108482,51.445336
KAXEN LTD,11640295,Dissolved,Private limited company,,2020-03-31,2018-10-24,,,32200,"Flat6, Prime House 16 Sentinel Square London NW4 2EL United Kingdom",NW4 2EL,-0.219906,51.586945
STUD LTD,11559596,Dissolved,Private limited company,,2020-12-22,2018-09-10,,,14110 14131 32200 32300,15 Hatherley Close Hatherley Close Liverpool L8 2XS United Kingdom,L8 2XS,-2.959197,53.394134
VERMEEREN LTD,11835570,Dissolved,Private limited company,,2023-08-15,2019-02-19,,,32200 62090,Westfield House Bratton Road Westbury BA13 3EP England,BA13 3EP,-2.180945,51.259592
SAMROUT CUSTOMS LTD,11756673,Dissolved,Private limited company,,2023-06-27,2019-01-08,,,32200,28 Wimborne Crescent Sully Penarth CF64 5SR United Kingdom,CF64 5SR,-3.211262,51.405281
NORTHERN DRUM COMPANY LTD,11543665,Dissolved,Private limited company,,2020-02-04,2018-08-30,,,32200,"Positive Practice Accountants 1 Primet Hill Lancashire, Colne BB8 9NF England",BB8 9NF,-2.180614,53.854613
PASHKULI LTD,11573451,Dissolved,Private limited company,,2020-10-13,2018-09-17,,,32200 32990,Glenmount 1 Argyle Road Tunbridge Wells TN4 0SU United Kingdom,TN4 0SU,0.265655,51.162093
STRING SURGERY LTD,11665353,Dissolved,Private limited company,,2021-03-16,2018-11-07,,,32200 33190,Flat 5 Elmwood Lane Leeds LS2 8WE United Kingdom,LS2 8WE,-1.540686,53.805023
NORTH SAUCE LTD,11500883,Dissolved,Private limited company,,2021-01-26,2018-08-06,,,32200,6 Old Farm Garth Leeds LS16 5DQ England,LS16 5DQ,-1.603816,53.836311
BASIC VIBRATIONS LTD,11444096,Dissolved,Private limited company,,2020-11-03,2018-07-02,,,32200,"Flat 507, The Quarters 24-32 Kilburn High Road London NW6 5UA England",NW6 5UA,-0.191432,51.5366
LONDON GUITAR CABS LTD,11508422,Dissolved,Private limited company,,2020-01-14,2018-08-09,,,32200,75 London Road St. Albans AL1 1LN United Kingdom,AL1 1LN,-0.333185,51.748759
MICHAEL JAMES AUDIO LTD,11420028,Dissolved,Private limited company,,2019-06-25,2018-06-18,,,32200,1 Derwent Business Centre Clarke Street Derby DE1 2BU United Kingdom,DE1 2BU,-1.46881,52.928626
AUDIAIRE LTD,11333491,Dissolved,Private limited company,,2023-10-12,2018-04-27,,,32200,6th Floor 9 Appold Street London EC2A 2AP ,EC2A 2AP,-0.081634,51.521691
INCREDIBLE INSTRUMENTS LTD,10629534,Dissolved,Private limited company,,2019-04-02,2017-02-20,,,32200,45 Fallowfield Avenue Birmingham B28 0NN United Kingdom,B28 0NN,-1.843018,52.418561
PIPE ORGAN PROBLEMS & SOLUTIONS LIMITED,05297007,Dissolved,Private limited company,,2014-07-15,2004-11-26,,,32200,7 St Petersgate Stockport SK1 1EB ,SK1 1EB,-2.158064,53.409982
MAPLE GUITARS LTD,12728395,Dissolved,Private limited company,,2022-07-26,2020-07-08,,,32200,177 London Road Teynham Sittingbourne ME9 9QJ England,ME9 9QJ,0.796821,51.328737
IOLIN LTD,SC438720,Dissolved,Private limited company,,2017-09-05,2012-12-12,,,32200,Plann House Knockentiber Kilmarnock KA2 0ED ,KA2 0ED,-4.546175,55.621851
BAUM GUITARS LTD,12767584,Dissolved,Private limited company,,2021-11-30,2020-07-24,,,32200,29 Abbeyview Park Tyn Y Morfa Chester CH8 9JN United Kingdom,CH8 9JN,-3.341552,53.3434
PERCUSSION PLUS LIMITED,06530292,Dissolved,Private limited company,,2018-11-21,2008-03-11,,,32200,3 Field Court Gray's Inn London WC1R 5EF ,WC1R 5EF,-0.114229,51.51918
BKB PRODUCTS LTD,08461958,Dissolved,Private limited company,,2023-01-03,2013-03-26,,,32200,49 Romola Road London SE24 9BA ,SE24 9BA,-0.10702,51.442706
RAY PEGS LIMITED,08465247,Dissolved,Private limited company,,2021-11-09,2013-03-28,,,32200 47591,Savants 83 Victoria Street London SW1H 0HW ,SW1H 0HW,-0.134807,51.49745
DENTAKU LTD,08411423,Dissolved,Private limited company,,2018-11-13,2013-02-20,,,32200 74100,Southgate Studios 2-4 Southgate Road London N1 3JJ ,N1 3JJ,-0.08605,51.537707
PJD GUITARS LIMITED,08918488,Dissolved,Private limited company,,2016-08-23,2014-03-03,,,32200,13-15 Seven Ways Parade Woodford Avenue Ilford IG2 6JX ,IG2 6JX,0.066386,51.577215
LINK AUDIO SYSTEMS LTD,09391621,Dissolved,Private limited company,,2017-04-04,2015-01-15,,,32200,43 Gatis Street Wolverhampton WV6 0ES United Kingdom,WV6 0ES,-2.143951,52.596713
MABEN CUSTOM GUITARS LTD,09394959,Dissolved,Private limited company,,2020-09-29,2015-01-19,,,32200,6 St. Mildreds Road Westgate-On-Sea CT8 8QR United Kingdom,CT8 8QR,1.338351,51.379949
LET THE KIDS ROCK LTD,08869902,Dissolved,Private limited company,,2016-08-02,2014-01-30,,,32200,1a Acres End Amersham HP7 9DZ ,HP7 9DZ,-0.596288,51.67018
AMAC CONCRETE NW LIMITED,10263372,Dissolved,Private limited company,,2019-02-05,2016-07-05,,,32200 32990,17 Duke Street Formby Liverpool L37 4AN United Kingdom,L37 4AN,-3.066859,53.554049
SOUTHERN PERCUSSION MARCHING LIMITED,10376057,Dissolved,Private limited company,,2021-10-12,2016-09-15,,,32200,1386 London Road Leigh On Sea SS9 2UJ England,SS9 2UJ,0.636353,51.547681
BLOW MONKEY LIMITED,10005462,Dissolved,Private limited company,,2020-09-29,2016-02-15,,,32200,3 Kingfisher Court Bowesfield Park Stockton-On-Tees TS18 3EX England,TS18 3EX,-1.317768,54.542686
NELL MUSIC INTERNATIONAL LIMITED,10311771,Dissolved,Private limited company,,2019-01-15,2016-08-04,,,32200,10311771: COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
PETER COLLINS LIMITED,02680731,Dissolved,Private limited company,,2018-07-05,1992-01-24,,,32200,109 Swan Street Sileby Leicestershire LE12 7NN ,LE12 7NN,-1.105747,52.732317
CACWN CYF,07771552,Dissolved,Private limited company,,2014-09-09,2011-09-13,,,32200,Ceris Garden Lane Bodedern Holyhead LL65 3TF Wales,LL65 3TF,-4.501315,53.293426
MIKE PRESTAGE LTD,08199398,Dissolved,Private limited company,,2015-11-03,2012-09-03,,,32200,16 St. Ethelbert Close Sutton St. Nicholas Hereford HR1 3BF ,HR1 3BF,-2.682209,52.10652
SQUARE ONE GUITARS LTD,08288580,Dissolved,Private limited company,,2016-11-22,2012-11-12,,,32200,145-157 St John Street London EC1V 4PW ,EC1V 4PW,-0.09777491358024692,51.52679568518515
PACKASEAT LIMITED,08312912,Dissolved,Private limited company,,2017-05-09,2012-11-29,,,32200,Valley House 53 Valley Road Plympton Plymouth PL7 1RF ,PL7 1RF,-4.070002,50.388584
TIKI DRUMS LTD,07910323,Dissolved,Private limited company,,2016-04-05,2012-01-16,,,32200,Unit 6 Workhaus 18a Arthur Street Hove BN3 5FD ,BN3 5FD,-0.182002,50.835719
MILE OAK INVESTMENTS LIMITED,06832894,Dissolved,Private limited company,,2017-12-18,2009-03-02,,,32200,Kenway Francis Limited 8 High Street Brentwood CM14 4AB ,CM14 4AB,0.304698,51.620737
REAL INSTRUMENTS LIMITED,07819879,Dissolved,Private limited company,,2019-02-12,2011-10-21,,,32200,Upper Hurst House Hirst Common Lane Sheffield S6 1EX ,S6 1EX,-1.512039,53.430387
STEINER MUSIC LTD,07076705,Dissolved,Private limited company,,2017-02-21,2009-11-14,,,32200 46491 47591,Mercury House Shipstones Business Centre Northgate Nottingham NG7 7FN ,NG7 7FN,-1.174069,52.973214
AUDICON LIMITED,07968751,Dissolved,Private limited company,,2018-01-23,2012-02-28,,,32200,71-75 Shelton Street London WC2H 9JQ ,WC2H 9JQ,-0.123615,51.514897
TOUCHING SOUNDS LIMITED,05435586,Dissolved,Private limited company,,2018-10-30,2005-04-26,,,32200,"19 Quarry Close, Sockton Brook Stoke-On-Trent ST9 9PH ",ST9 9PH,-2.130793,53.05734
HOYER EUROPE LTD,09605598,Dissolved,Private limited company,,2018-01-09,2015-05-22,,,32200,60 Windsor Avenue London SW19 2RR England,SW19 2RR,-0.185051,51.410901
SHAKE YOUR POWER CIC,09516080,Dissolved,Private limited company,Community Interest Company (CIC),2020-03-10,2015-03-28,,,32200,52 High Street Pinner HA5 5PW ,HA5 5PW,-0.379879,51.594252
TOUCHKEYS INSTRUMENTS LTD,09558566,Dissolved,Private limited company,,2023-02-14,2015-04-23,,,32200,Rm E204 Queen's Building Queen Mary University Of London Mile End Road London E1 4NS England,E1 4NS,-0.040683,51.524637
CREATIVENIMA LIMITED,09957123,Dissolved,Private limited company,,2019-12-03,2016-01-18,,,32200,St Francis House Eastfield Road Duston Northampton NN5 6TQ England,NN5 6TQ,-0.947195,52.250263
SUITCASE DRUM KIT LIMITED,09763356,Dissolved,Private limited company,,2020-09-22,2015-09-04,,,32200,69 Brambleside Kettering NN16 9BP United Kingdom,NN16 9BP,-0.720163,52.416776
TOOTBOX LIMITED,09824174,Dissolved,Private limited company,,2017-12-19,2015-10-14,,,32200,6 Leadmill Road Sheffield S1 4SE United Kingdom,S1 4SE,-1.464797,53.376154
GAS CAN GUITARS LIMITED,10054286,Dissolved,Private limited company,,2018-05-01,2016-03-10,,,32200,56 Bushey Hall Road Bushey WD23 2ED United Kingdom,WD23 2ED,-0.381945,51.655078
D. J. MORGAN LTD,08783675,Dissolved,Private limited company,,2016-09-20,2013-11-20,,,32200,The Coach House Greensforge Kingswinford DY6 0AH ,DY6 0AH,-2.206152,52.496662
FAVFRAME LTD,08983534,Dissolved,Private limited company,,2020-10-06,2014-04-07,,,32200,35 Fairfield Gardens Flat A London N8 9DD England,N8 9DD,-0.121356,51.581343
DARKWOOD DESIGN LTD,08845722,Dissolved,Private limited company,,2022-06-28,2014-01-15,,,32200,"The Loft, Unit 11 Hunthay Business Park Axminster EX13 5RJ ",EX13 5RJ,-3.017538,50.782529
CAMDEN DRUM AND PERCUSSION COMPANY LIMITED,08758560,Dissolved,Private limited company,,2015-11-10,2013-11-01,,,32200,5 Cross Lane West Mersea Colchester CO5 8HN ,CO5 8HN,0.933546,51.78252
JIM FLEETING GUITARS LIMITED,08052684,Active,Private limited company,,,2012-05-01,,,32200,"Unit E5, 4th Floor, Pear Mill Stockport Road West Bredbury Stockport SK6 2BP England",SK6 2BP,-2.133812,53.413769
